Capacity,Station Type,Lon,Lat,Short Name,Name
15,classic,-87.67493,41.88137,13134,Damen Ave & Madison St
15,classic,-87.74000823,41.94707089,16994,Kilbourn Ave & Milwaukee Ave
7,classic,-87.685109,41.84847,TA1309000003,Western Ave & 24th St
11,classic,-87.69629814,41.88445396,15666,California Ave & Lake St
11,classic,-87.552096,41.752029,580,Exchange Ave & 79th St
19,classic,-87.673895,41.877618,631,Malcolm X College
19,classic,-87.677335,41.915983,13133,Damen Ave & Cortland St
11,classic,-87.62769053,41.9023087,KA1504000133,Rush St & Cedar St
11,classic,-87.62656802,41.82301524,15449,State St & Pershing Rd
15,classic,-87.63442878,41.92675599,13124,Cannon Dr & Fullerton Ave
11,classic,-87.67718,41.808227,KA1504000091,Hoyne Ave & 47th St
23,classic,-87.644238,41.883703,15535,Desplaines St & Randolph St
19,classic,-87.62679756,41.83103631,TA1307000129,State St & 35th St
15,classic,-87.661206,41.88283,13353,Ada St & Washington Blvd
11,classic,-87.67363429,41.75927404,16951,Damen Ave & 74th St
15,classic,-87.63711333,41.66869635,20208,Major Taylor Trail & 124th St
11,classic,-87.586647,41.778881,KA1503000021,Stony Island Ave & 64th St
15,classic,-87.693917,41.749702,23129,Mozart St & 79th St
19,classic,-87.62191523,41.89858665,15529,Mies van der Rohe Way & Chestnut St
11,classic,-87.65114,41.8378,TA1308000046,Morgan St & 31st St
19,classic,-87.653818,41.92154,TA1309000033,Sheffield Ave & Webster Ave
23,classic,-87.68659602,41.89841769,KA1504000103,Western Ave & Walton St
23,classic,-87.673688,41.871262,TA1309000064,Wolcott Ave & Polk St
11,classic,-87.683392,41.805661,594,Western Blvd & 48th Pl
19,classic,-87.64664,41.87184,TA1307000121,Halsted St & Polk St
11,classic,-87.635491,41.842733,15443,Shields Ave & 28th Pl
11,classic,-87.764499,41.872993,16915,Central Ave & Harrison St
15,classic,-87.739557,41.942722,21360,Kilbourn Ave & Roscoe St
15,classic,-87.68930701,41.92463247,15648,Campbell Ave & Fullerton Ave
19,classic,-87.66014062,41.98974251,15575,Broadway & Thorndale Ave
15,classic,-87.689397,41.892048,643,Smith Park
7,classic,-87.674684,41.800908,554,Damen Ave & 51st St
19,classic,-87.64942193,41.91057803,13058,Dayton St & North Ave
11,classic,-87.654308,41.775393,564,Racine Ave & 65th St
15,classic,-87.598906,41.787878,22003,University Ave & 59th St
15,classic,-87.64854491,41.89939029,KA1504000117,Halsted St & North Branch St
19,classic,-87.617,41.842052,TA1307000139,MLK Jr Dr & 29th St
23,classic,-87.62455,41.857813,13150,Michigan Ave & 18th St
15,classic,-87.664358,41.954177,TA1309000043,Southport Ave & Irving Park Rd
