community,area,shape_area,perimeter,area_num_1,area_numbe,comarea_id,comarea,shape_len,station_id,name,lat,lon,capacity
DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098",a3aae35a-a135-11e9-9cda-0a87ae2ba916,Calumet Ave & 35th St,41.831379,-87.618034,"15"
DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098",a3a75d8a-a135-11e9-9cda-0a87ae2ba916,State St & 35th St,41.8310363140161,-87.6267975568771,"19"
DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098",a3a859c4-a135-11e9-9cda-0a87ae2ba916,MLK Jr Dr & 29th St,41.842052,-87.617,"19"
DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098",a3ad2843-a135-11e9-9cda-0a87ae2ba916,Lake Park Ave & 35th St,41.83127423549,-87.6087991946,"19"
DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098",a3a781a6-a135-11e9-9cda-0a87ae2ba916,State St & 29th St,41.841707,-87.626938,"11"
DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098",b8c74f86-2873-4818-88ac-81d9ae374add,Fort Dearborn Dr & 31st St*,41.8386763289712,-87.6088321208954,"20"
DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098",a3a96fd5-a135-11e9-9cda-0a87ae2ba916,Rhodes Ave & 32nd St,41.836208,-87.613533,"11"
DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098",a3a743ff-a135-11e9-9cda-0a87ae2ba916,MLK Jr Dr & Pershing Rd,41.8246,-87.61678,"15"
DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098",a3a640d1-a135-11e9-9cda-0a87ae2ba916,Fort Dearborn Dr & 31st St,41.838556,-87.608218,"27"
DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098",a3a634dd-a135-11e9-9cda-0a87ae2ba916,State St & 33rd St,41.834734,-87.625813,"15"
DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098",a3a9984a-a135-11e9-9cda-0a87ae2ba916,Indiana Ave & 31st St,41.838842,-87.621857,"11"
DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098",a3a639f5-a135-11e9-9cda-0a87ae2ba916,Calumet Ave & 33rd St,41.8349,-87.61793,"11"
OAKLAND,"0","16913961.0408","0","36","36","0","0","19565.5061533","1674190308266486308",Public Rack - Greenwood Ave & Lake Park Ave,41.817372,-87.599576,"1"
FULLER PARK,"0","19916704.8692","0","37","37","0","0","25339.0897503",a3accb60-a135-11e9-9cda-0a87ae2ba916,Princeton Ave & Garfield Blvd,41.794982,-87.633124,"11"
FULLER PARK,"0","19916704.8692","0","37","37","0","0","25339.0897503",a3ad47f8-a135-11e9-9cda-0a87ae2ba916,Princeton Ave & 47th St,41.80931770924,-87.633449288,"11"
FULLER PARK,"0","19916704.8692","0","37","37","0","0","25339.0897503",a3ad37c2-a135-11e9-9cda-0a87ae2ba916,Shields Ave & 43rd St,41.81620767856,-87.6348193497,"11"
FULLER PARK,"0","19916704.8692","0","37","37","0","0","25339.0897503","1674190570259491814",Public Rack - Princeton Ave & 43rd St,41.815883,-87.633718,"2"
GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573",a3ad2d57-a135-11e9-9cda-0a87ae2ba916,State St & Pershing Rd,41.82301523798,-87.6265680185,"11"
GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573",a3ac30c5-a135-11e9-9cda-0a87ae2ba916,Cottage Grove Ave & 51st St,41.803038,-87.606615,"15"
GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573",a3a97a01-a135-11e9-9cda-0a87ae2ba916,Cottage Grove Ave & Oakwood Blvd,41.822985,-87.6071,"15"
