vehicle_docks_available,num_bikes_disabled,num_scooters_available,num_docks_available,num_docks_disabled,is_installed,is_renting,last_reported,num_bikes_available,num_scooters_unavailable,vehicle_types_available,num_ebikes_available,station_id,is_returning
"[{'vehicle_type_ids': ['1', '2'], 'count': 9}]",2,0.0,9,0,1,1,1700170573,3,0.0,"[{'count': 1, 'vehicle_type_id': '1'}, {'count': 2, 'vehicle_type_id': '2'}]",2,a3af5d1c-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 0}]",0,0.0,0,0,1,1,1700170573,11,0.0,"[{'count': 3, 'vehicle_type_id': '1'}, {'count': 8, 'vehicle_type_id': '2'}]",8,a3addda0-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 7}]",0,0.0,7,0,1,1,1700170574,8,0.0,"[{'count': 7, 'vehicle_type_id': '1'}, {'count': 1, 'vehicle_type_id': '2'}]",1,a3af2737-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 2}]",0,0.0,2,0,1,1,1700170574,13,0.0,"[{'count': 2, 'vehicle_type_id': '1'}, {'count': 11, 'vehicle_type_id': '2'}]",11,ff21c158-de98-46c6-9ef7-7082bdb7c634,1
"[{'vehicle_type_ids': ['1', '2', '3'], 'count': 5}]",0,0.0,5,0,1,1,1700170585,14,0.0,"[{'count': 11, 'vehicle_type_id': '1'}, {'count': 3, 'vehicle_type_id': '2'}, {'count': 0, 'vehicle_type_id': '3'}]",3,a3a59ec3-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 3}]",1,0.0,3,0,1,1,1700170585,7,0.0,"[{'count': 3, 'vehicle_type_id': '1'}, {'count': 4, 'vehicle_type_id': '2'}]",4,a3ac35ed-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 6}]",1,0.0,6,0,1,1,1700170589,8,0.0,"[{'count': 3, 'vehicle_type_id': '1'}, {'count': 5, 'vehicle_type_id': '2'}]",5,a3a9f76a-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 9}]",1,0.0,9,0,1,1,1700170589,9,0.0,"[{'count': 7, 'vehicle_type_id': '1'}, {'count': 2, 'vehicle_type_id': '2'}]",2,a3a5a9d0-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 15}]",1,0.0,15,0,1,1,1700170582,3,0.0,"[{'count': 2, 'vehicle_type_id': '1'}, {'count': 1, 'vehicle_type_id': '2'}]",1,a3a83ba1-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 11}]",0,0.0,11,0,1,1,1700170588,4,0.0,"[{'count': 4, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}]",0,e63300bd-4ca3-4255-adfd-522289d68b8a,1
