num_bikes_disabled,is_renting,is_installed,num_scooters_unavailable,num_ebikes_available,station_id,num_docks_available,num_bikes_available,is_returning,num_scooters_available,num_docks_disabled,timestamp,n_classic,n_electric,n_scooters
2,1,1,0.0,1,1862806445904101456,4,33,1,0.0,0,01/11/2024 10:09 AM,32,1,0
0,1,1,0.0,0,a3b148bf-a135-11e9-9cda-0a87ae2ba916,8,3,1,0.0,0,01/11/2024 10:09 AM,3,0,0
0,1,1,0.0,6,a3a5de24-a135-11e9-9cda-0a87ae2ba916,4,11,1,0.0,0,01/11/2024 10:09 AM,5,6,0
0,1,1,0.0,0,a3b2862e-a135-11e9-9cda-0a87ae2ba916,9,2,1,0.0,0,01/11/2024 10:09 AM,2,0,0
1,1,1,0.0,0,a3b481e1-a135-11e9-9cda-0a87ae2ba916,5,5,1,3.0,0,01/11/2024 10:09 AM,5,0,3
0,1,1,0.0,0,a3b11480-a135-11e9-9cda-0a87ae2ba916,1,10,1,0.0,0,01/11/2024 10:09 AM,10,0,0
1,1,1,0.0,1,a3af8123-a135-11e9-9cda-0a87ae2ba916,2,12,1,0.0,0,01/11/2024 10:09 AM,11,1,0
1,1,1,0.0,3,da9e6779-5056-4d45-bae3-9dc325ed2807,3,7,1,0.0,0,01/11/2024 10:09 AM,4,3,0
0,1,1,0.0,5,a3b4399a-a135-11e9-9cda-0a87ae2ba916,9,5,1,0.0,0,01/11/2024 10:09 AM,0,5,0
0,1,1,0.0,1,a3ad2d57-a135-11e9-9cda-0a87ae2ba916,5,6,1,0.0,0,01/11/2024 10:09 AM,5,1,0
0,0,1,0.0,0,a3a7f0ba-a135-11e9-9cda-0a87ae2ba916,6,9,0,0.0,0,01/11/2024 10:03 AM,9,0,0
1,1,1,0.0,0,a3b13836-a135-11e9-9cda-0a87ae2ba916,5,5,1,0.0,0,01/11/2024 10:09 AM,5,0,0
1,1,1,0.0,4,a3a965b2-a135-11e9-9cda-0a87ae2ba916,0,12,1,2.0,0,01/11/2024 10:09 AM,8,4,2
0,1,1,0.0,0,1871993715238611622,3,12,1,0.0,0,01/11/2024 10:09 AM,12,0,0
0,1,1,0.0,0,a3a5f5e6-a135-11e9-9cda-0a87ae2ba916,8,3,1,0.0,0,01/11/2024 10:09 AM,3,0,0
0,1,1,0.0,1,a3a9c5f7-a135-11e9-9cda-0a87ae2ba916,3,4,1,0.0,0,01/11/2024 10:09 AM,3,1,0
0,1,1,0.0,0,90011328-f7bd-4b7b-8f95-8204a0b50f27,9,2,1,0.0,0,01/11/2024 10:09 AM,2,0,0
4,1,1,0.0,0,a3a5700b-a135-11e9-9cda-0a87ae2ba916,17,6,1,0.0,0,01/11/2024 10:09 AM,6,0,0
0,1,1,0.0,6,a3b01a86-a135-11e9-9cda-0a87ae2ba916,2,13,1,0.0,0,01/11/2024 10:09 AM,7,6,0
0,1,1,0.0,1,a3a3b731-a135-11e9-9cda-0a87ae2ba916,18,5,1,0.0,0,01/11/2024 10:09 AM,4,1,0
1,1,1,0.0,1,a3b1fa1c-a135-11e9-9cda-0a87ae2ba916,7,3,1,0.0,0,01/11/2024 10:09 AM,2,1,0
1,0,1,0.0,0,a3a854bf-a135-11e9-9cda-0a87ae2ba916,10,4,0,0.0,0,01/11/2024 10:04 AM,4,0,0
1,1,1,0.0,0,a3aa4017-a135-11e9-9cda-0a87ae2ba916,6,8,1,0.0,0,01/11/2024 10:09 AM,8,0,0
1,1,1,0.0,1,a3a5d3bb-a135-11e9-9cda-0a87ae2ba916,9,4,1,1.0,0,01/11/2024 10:09 AM,3,1,1
1,1,1,0.0,3,a3ad13e4-a135-11e9-9cda-0a87ae2ba916,4,6,1,0.0,0,01/11/2024 10:09 AM,3,3,0
0,1,1,0.0,1,1869054242749504212,9,6,1,0.0,0,01/11/2024 10:09 AM,5,1,0
3,1,1,0.0,3,a3afd7ab-a135-11e9-9cda-0a87ae2ba916,1,11,1,0.0,0,01/11/2024 10:09 AM,8,3,0
0,1,1,0.0,5,a3ac7e9a-a135-11e9-9cda-0a87ae2ba916,3,12,1,0.0,0,01/11/2024 10:09 AM,7,5,0
2,1,1,0.0,1,a3a99d47-a135-11e9-9cda-0a87ae2ba916,13,6,1,2.0,0,01/11/2024 10:09 AM,5,1,2
1,1,1,0.0,0,a3aaa68b-a135-11e9-9cda-0a87ae2ba916,15,3,1,0.0,0,01/11/2024 10:10 AM,3,0,0
3,1,1,0.0,1,792ceba0-564f-4a2c-bcb5-90da781ffeef,1,11,1,0.0,0,01/11/2024 10:10 AM,10,1,0
4,1,1,0.0,0,a3acea44-a135-11e9-9cda-0a87ae2ba916,5,2,1,0.0,0,01/11/2024 10:10 AM,2,0,0
0,1,1,0.0,2,a3b1c47b-a135-11e9-9cda-0a87ae2ba916,2,9,1,0.0,0,01/11/2024 10:10 AM,7,2,0
0,1,1,0.0,4,a3afbe2e-a135-11e9-9cda-0a87ae2ba916,5,10,1,0.0,0,01/11/2024 10:10 AM,6,4,0
0,1,1,0.0,0,732c9f35-0c82-4128-acc3-2cf447298b1d,7,8,1,0.0,0,01/11/2024 10:10 AM,8,0,0
0,1,1,0.0,0,a3a96aca-a135-11e9-9cda-0a87ae2ba916,3,8,1,0.0,0,01/11/2024 10:10 AM,8,0,0
1,1,1,0.0,1,a3af2737-a135-11e9-9cda-0a87ae2ba916,9,5,1,0.0,0,01/11/2024 10:10 AM,4,1,0
2,1,1,0.0,0,a3b1d532-a135-11e9-9cda-0a87ae2ba916,1,8,1,0.0,0,01/11/2024 10:10 AM,8,0,0
0,1,1,0.0,0,a3b10a40-a135-11e9-9cda-0a87ae2ba916,7,4,1,0.0,0,01/11/2024 10:10 AM,4,0,0
0,1,1,0.0,1,a3a6c38e-a135-11e9-9cda-0a87ae2ba916,7,13,1,0.0,0,01/11/2024 10:10 AM,12,0,0
0,1,1,0.0,8,a3a9b1d7-a135-11e9-9cda-0a87ae2ba916,1,11,1,3.0,0,01/11/2024 10:10 AM,3,8,3
1,1,1,0.0,1,94788869-1849-43f6-99e1-2eacbc3fab03,3,11,1,2.0,1,01/11/2024 10:10 AM,10,1,0
0,1,1,0.0,2,a3b2be3a-a135-11e9-9cda-0a87ae2ba916,6,5,1,0.0,0,01/11/2024 10:10 AM,3,2,0
0,1,1,0.0,1,a3b13e66-a135-11e9-9cda-0a87ae2ba916,6,5,1,0.0,0,01/11/2024 10:10 AM,4,1,0
2,1,1,0.0,3,a3a9f76a-a135-11e9-9cda-0a87ae2ba916,6,7,1,0.0,0,01/11/2024 10:10 AM,4,3,0
0,1,1,0.0,0,a3ad4d1b-a135-11e9-9cda-0a87ae2ba916,11,4,1,0.0,0,01/11/2024 10:10 AM,4,0,0
1,1,1,0.0,0,a3a79adb-a135-11e9-9cda-0a87ae2ba916,23,3,1,0.0,0,01/11/2024 10:10 AM,3,0,0
0,1,1,0.0,0,a3b2d2b7-a135-11e9-9cda-0a87ae2ba916,9,2,1,0.0,0,01/11/2024 10:10 AM,2,0,0
2,1,1,0.0,0,1850868044363584392,0,13,1,0.0,0,01/11/2024 10:10 AM,13,0,0
1,1,1,0.0,2,a3a82c6c-a135-11e9-9cda-0a87ae2ba916,9,13,1,0.0,0,01/11/2024 10:10 AM,11,2,0
0,1,1,0.0,1,a3a80512-a135-11e9-9cda-0a87ae2ba916,10,9,1,0.0,0,01/11/2024 10:10 AM,8,1,0
1,1,1,0.0,2,a3addda0-a135-11e9-9cda-0a87ae2ba916,5,5,1,0.0,0,01/11/2024 10:10 AM,3,2,0
2,1,1,0.0,1,a3ac30c5-a135-11e9-9cda-0a87ae2ba916,2,11,1,0.0,0,01/11/2024 10:10 AM,10,1,0
0,1,1,0.0,0,a3a75885-a135-11e9-9cda-0a87ae2ba916,22,1,1,0.0,0,01/11/2024 10:10 AM,1,0,0
0,1,1,0.0,4,a3af2c5f-a135-11e9-9cda-0a87ae2ba916,1,18,1,0.0,0,01/11/2024 10:10 AM,14,4,0
4,1,1,0.0,2,a3a8855c-a135-11e9-9cda-0a87ae2ba916,12,7,1,0.0,0,01/11/2024 10:10 AM,5,2,0
1,1,1,0.0,1,a3a41004-a135-11e9-9cda-0a87ae2ba916,7,7,1,0.0,0,01/11/2024 10:10 AM,6,1,0
0,1,1,0.0,4,1799277526470631980,9,6,1,0.0,0,01/11/2024 10:10 AM,2,4,0
0,1,1,0.0,1,a3acb1de-a135-11e9-9cda-0a87ae2ba916,8,3,1,0.0,0,01/11/2024 10:10 AM,2,1,0
1,1,1,0.0,0,a3a83ba1-a135-11e9-9cda-0a87ae2ba916,2,16,1,0.0,0,01/11/2024 10:10 AM,16,0,0
3,1,1,0.0,2,a3a3f0c6-a135-11e9-9cda-0a87ae2ba916,9,3,1,0.0,0,01/11/2024 10:10 AM,1,2,0
1,1,1,0.0,0,f0f9f5dc-3d3f-4a32-aa3e-b87566e44de9,5,9,1,0.0,0,01/11/2024 10:10 AM,9,0,0
0,1,1,0.0,0,a3b29fae-a135-11e9-9cda-0a87ae2ba916,10,1,1,0.0,0,01/11/2024 10:10 AM,1,0,0
0,1,1,0.0,0,a3ac3b03-a135-11e9-9cda-0a87ae2ba916,6,9,1,0.0,0,01/11/2024 10:10 AM,9,0,0
1,1,1,0.0,0,e63300bd-4ca3-4255-adfd-522289d68b8a,4,10,1,0.0,0,01/11/2024 10:10 AM,10,0,0
5,1,1,0.0,1,a3ad8072-a135-11e9-9cda-0a87ae2ba916,0,26,1,0.0,0,01/11/2024 10:10 AM,25,1,0
2,1,1,0.0,0,1850866657089146912,16,1,1,0.0,0,01/11/2024 10:10 AM,1,0,0
0,1,1,0.0,0,a3b22d3d-a135-11e9-9cda-0a87ae2ba916,1,10,1,0.0,0,01/11/2024 10:10 AM,10,0,0
1,1,1,0.0,3,a3af460f-a135-11e9-9cda-0a87ae2ba916,5,13,1,0.0,0,01/11/2024 10:10 AM,10,3,0
0,1,1,0.0,4,1867616662773391950,1,14,1,0.0,0,01/11/2024 10:10 AM,10,4,0
1,1,1,0.0,11,a3a48d5c-a135-11e9-9cda-0a87ae2ba916,4,17,1,1.0,0,01/11/2024 10:10 AM,6,11,1
1,1,1,0.0,9,a3a3a282-a135-11e9-9cda-0a87ae2ba916,5,29,1,0.0,0,01/11/2024 10:10 AM,20,9,0
0,1,1,0.0,0,a3b48c07-a135-11e9-9cda-0a87ae2ba916,10,9,1,0.0,0,01/11/2024 10:10 AM,9,0,0
1,1,1,0.0,1,a3ac35ed-a135-11e9-9cda-0a87ae2ba916,6,4,1,0.0,0,01/11/2024 10:10 AM,3,1,0
2,1,1,0.0,0,a3b0fae6-a135-11e9-9cda-0a87ae2ba916,6,7,1,0.0,0,01/11/2024 10:10 AM,7,0,0
1,1,1,0.0,0,759171ce-f355-4740-948d-e14bb8f7dc0e,6,8,1,0.0,0,01/11/2024 10:10 AM,8,0,0
0,1,1,0.0,0,1879436840905128284,8,7,1,0.0,0,01/11/2024 10:10 AM,7,0,0
