num_bikes_available,num_scooters_available,num_docks_available,num_ebikes_available,num_bikes_disabled,is_installed,is_renting,is_returning,num_scooters_unavailable,num_docks_disabled,station_id,timestamp,n_classic,n_electric,n_scooters
7,0.0,8,7,0,1,1,1,0.0,0,1955905507044284968,06/20/2024 04:07 AM,0,7,0
9,0.0,12,3,2,1,1,1,0.0,0,a3a82c6c-a135-11e9-9cda-0a87ae2ba916,06/20/2024 04:08 AM,6,3,0
5,1.0,9,2,1,1,1,1,0.0,0,a3af8123-a135-11e9-9cda-0a87ae2ba916,06/20/2024 04:08 AM,3,2,0
13,1.0,0,3,1,1,1,1,0.0,0,a3a76cb6-a135-11e9-9cda-0a87ae2ba916,06/20/2024 04:09 AM,10,3,0
8,1.0,6,6,1,1,1,1,0.0,0,a3afb401-a135-11e9-9cda-0a87ae2ba916,06/20/2024 04:09 AM,2,6,0
12,3.0,0,2,0,1,1,1,0.0,0,a3a3ace6-a135-11e9-9cda-0a87ae2ba916,06/20/2024 04:09 AM,10,2,3
1,3.0,12,0,7,1,1,1,0.0,0,a3a48d5c-a135-11e9-9cda-0a87ae2ba916,06/20/2024 04:09 AM,1,0,3
11,0.0,0,7,0,1,1,1,0.0,0,a3b2be3a-a135-11e9-9cda-0a87ae2ba916,06/20/2024 04:09 AM,4,7,0
9,0.0,6,1,0,1,1,1,0.0,0,a3a547b8-a135-11e9-9cda-0a87ae2ba916,06/20/2024 04:09 AM,8,1,0
1,0.0,29,1,1,1,1,1,0.0,0,a3ad8072-a135-11e9-9cda-0a87ae2ba916,06/20/2024 04:09 AM,0,1,0
9,2.0,5,0,3,1,1,1,0.0,0,a3aaa68b-a135-11e9-9cda-0a87ae2ba916,06/20/2024 04:09 AM,9,0,0
13,1.0,1,3,0,1,1,1,0.0,0,a3a854bf-a135-11e9-9cda-0a87ae2ba916,06/20/2024 04:09 AM,10,3,1
5,0.0,5,3,1,1,1,1,0.0,0,a3b1d532-a135-11e9-9cda-0a87ae2ba916,06/20/2024 04:10 AM,2,3,0
4,0.0,7,0,0,1,1,1,0.0,0,a3b29fae-a135-11e9-9cda-0a87ae2ba916,06/20/2024 04:10 AM,4,0,0
7,0.0,6,6,2,1,1,1,0.0,0,a3a9f76a-a135-11e9-9cda-0a87ae2ba916,06/20/2024 04:10 AM,1,6,0
10,0.0,8,1,1,1,1,1,0.0,0,a3a62aad-a135-11e9-9cda-0a87ae2ba916,06/20/2024 04:10 AM,9,1,0
13,2.0,0,12,0,1,1,1,0.0,0,a3af2737-a135-11e9-9cda-0a87ae2ba916,06/20/2024 04:10 AM,1,12,0
19,0.0,7,0,5,1,1,1,0.0,0,a3a3e67b-a135-11e9-9cda-0a87ae2ba916,06/20/2024 04:10 AM,19,0,0
10,0.0,4,1,1,1,1,1,0.0,0,a60781db-2bec-4a15-a4a2-363297aefcec,06/20/2024 04:10 AM,9,1,0
5,0.0,5,2,1,1,1,1,0.0,0,a3b1c47b-a135-11e9-9cda-0a87ae2ba916,06/20/2024 04:10 AM,3,2,0
12,2.0,1,10,0,1,1,1,0.0,0,1928792940289520096,06/20/2024 04:10 AM,2,10,0
10,0.0,13,1,7,1,1,1,0.0,0,a3a8999a-a135-11e9-9cda-0a87ae2ba916,06/20/2024 04:10 AM,9,1,0
5,1.0,11,1,2,1,1,1,0.0,0,a3a62566-a135-11e9-9cda-0a87ae2ba916,06/20/2024 04:10 AM,4,1,1
7,0.0,7,0,1,1,1,1,0.0,0,1934289130932983934,06/20/2024 04:10 AM,7,0,0
7,0.0,8,1,0,1,1,1,0.0,0,1869054242749504212,06/20/2024 04:10 AM,6,1,0
13,2.0,2,9,2,1,1,1,0.0,0,a3b48c07-a135-11e9-9cda-0a87ae2ba916,06/20/2024 04:10 AM,4,9,0
2,0.0,13,0,0,1,1,1,0.0,0,1958859639339458778,06/20/2024 04:10 AM,2,0,0
4,12.0,0,0,0,1,1,1,0.0,0,1936553212713581016,06/20/2024 04:10 AM,4,0,0
