num_ebikes_available,num_docks_disabled,is_installed,num_bikes_disabled,is_returning,station_id,num_docks_available,num_scooters_unavailable,num_scooters_available,is_renting,num_bikes_available,timestamp,n_classic,n_electric,n_scooters
5,0,1,1,1,a3a5de24-a135-11e9-9cda-0a87ae2ba916,6,0.0,0.0,1,8,06/20/2024 10:07 PM,3,5,0
0,0,1,0,1,1943244109954931024,7,0.0,8.0,1,0,06/20/2024 10:08 PM,0,0,0
2,0,1,1,1,a3b23cb8-a135-11e9-9cda-0a87ae2ba916,4,0.0,0.0,1,6,06/20/2024 10:08 PM,4,2,0
8,0,1,1,1,a3a82c6c-a135-11e9-9cda-0a87ae2ba916,1,0.0,3.0,1,18,06/20/2024 10:08 PM,10,8,0
0,0,1,3,1,a3ac30c5-a135-11e9-9cda-0a87ae2ba916,4,0.0,1.0,1,7,06/20/2024 10:08 PM,7,0,0
5,0,1,2,1,a3a859c4-a135-11e9-9cda-0a87ae2ba916,0,0.0,5.0,1,11,06/20/2024 10:08 PM,6,5,5
1,0,1,0,1,a3a76cb6-a135-11e9-9cda-0a87ae2ba916,8,0.0,1.0,1,6,06/20/2024 10:08 PM,5,1,0
1,0,1,3,1,a3a614ad-a135-11e9-9cda-0a87ae2ba916,4,0.0,2.0,1,22,06/20/2024 10:08 PM,21,1,2
1,0,1,9,1,a3a48d5c-a135-11e9-9cda-0a87ae2ba916,4,0.0,3.0,1,7,06/20/2024 10:08 PM,6,1,3
3,0,1,0,1,a3b10a40-a135-11e9-9cda-0a87ae2ba916,5,0.0,0.0,1,6,06/20/2024 10:08 PM,3,3,0
8,0,1,3,1,a3af5d1c-a135-11e9-9cda-0a87ae2ba916,0,0.0,0.0,1,12,06/20/2024 10:08 PM,4,8,0
0,0,1,2,1,a3a41004-a135-11e9-9cda-0a87ae2ba916,7,0.0,0.0,1,6,06/20/2024 10:08 PM,6,0,0
0,0,1,1,1,a3a965b2-a135-11e9-9cda-0a87ae2ba916,14,0.0,0.0,1,0,06/20/2024 10:08 PM,0,0,0
4,0,1,0,1,1929967657204564894,3,0.0,0.0,1,12,06/20/2024 10:08 PM,8,4,0
0,0,1,1,1,a3ac35ed-a135-11e9-9cda-0a87ae2ba916,5,0.0,0.0,1,5,06/20/2024 10:08 PM,5,0,0
5,0,1,1,1,a3a9c0f6-a135-11e9-9cda-0a87ae2ba916,1,0.0,1.0,1,8,06/20/2024 10:08 PM,3,5,1
1,0,1,2,1,a3a795d7-a135-11e9-9cda-0a87ae2ba916,11,4.0,1.0,1,1,06/20/2024 10:08 PM,0,1,1
1,0,1,1,1,a3b4399a-a135-11e9-9cda-0a87ae2ba916,6,0.0,1.0,1,7,06/20/2024 10:08 PM,6,1,0
1,0,1,0,1,a3b22d3d-a135-11e9-9cda-0a87ae2ba916,3,0.0,0.0,1,8,06/20/2024 10:08 PM,7,1,0
3,0,1,0,1,1799277526470631980,10,0.0,0.0,1,5,06/20/2024 10:08 PM,2,3,0
0,0,1,0,1,a3a547b8-a135-11e9-9cda-0a87ae2ba916,9,0.0,0.0,1,6,06/20/2024 10:08 PM,6,0,0
2,0,1,1,1,a60781db-2bec-4a15-a4a2-363297aefcec,3,0.0,0.0,1,11,06/20/2024 10:08 PM,9,2,0
3,0,1,2,1,a3aa35a4-a135-11e9-9cda-0a87ae2ba916,2,0.0,3.0,1,24,06/20/2024 10:08 PM,21,3,0
4,0,1,1,1,a3b1d532-a135-11e9-9cda-0a87ae2ba916,4,0.0,0.0,1,6,06/20/2024 10:08 PM,2,4,0
0,0,1,2,1,a3b13836-a135-11e9-9cda-0a87ae2ba916,5,0.0,0.0,1,4,06/20/2024 10:08 PM,4,0,0
10,0,1,0,1,a3af2737-a135-11e9-9cda-0a87ae2ba916,3,0.0,1.0,1,11,06/20/2024 10:08 PM,1,10,0
0,0,1,0,1,a3aabad8-a135-11e9-9cda-0a87ae2ba916,2,0.0,1.0,1,16,06/20/2024 10:08 PM,16,0,0
0,0,1,2,1,792ceba0-564f-4a2c-bcb5-90da781ffeef,12,0.0,0.0,1,1,06/20/2024 10:08 PM,1,0,0
2,0,1,4,1,a3ac3b03-a135-11e9-9cda-0a87ae2ba916,2,0.0,0.0,1,9,06/20/2024 10:08 PM,7,2,0
1,0,1,3,1,a3ad95a7-a135-11e9-9cda-0a87ae2ba916,7,0.0,1.0,1,4,06/20/2024 10:08 PM,3,1,0
2,0,1,2,1,a21de1a5-f5bc-4b50-8a13-aa28b7dcfa95,1,0.0,0.0,1,12,06/20/2024 10:08 PM,10,2,0
1,0,1,2,1,a3a5a9d0-a135-11e9-9cda-0a87ae2ba916,12,0.0,0.0,1,5,06/20/2024 10:08 PM,4,1,0
4,0,1,1,1,a3b481e1-a135-11e9-9cda-0a87ae2ba916,0,0.0,2.0,1,12,06/20/2024 10:09 PM,8,4,2
2,0,1,2,1,a3afbe2e-a135-11e9-9cda-0a87ae2ba916,5,0.0,0.0,1,8,06/20/2024 10:08 PM,6,2,0
3,0,1,0,1,1867616662773391950,2,0.0,0.0,1,13,06/20/2024 10:08 PM,10,3,0
0,0,1,7,1,a3a3e67b-a135-11e9-9cda-0a87ae2ba916,1,0.0,0.0,1,22,06/20/2024 10:08 PM,22,0,0
9,0,1,3,1,1882466626513795782,0,0.0,0.0,1,12,06/20/2024 10:08 PM,3,9,0
3,0,1,2,1,a3a3b202-a135-11e9-9cda-0a87ae2ba916,1,0.0,0.0,1,12,06/20/2024 10:08 PM,9,3,0
5,0,1,1,1,1929883678185797908,5,0.0,0.0,1,9,06/20/2024 10:08 PM,4,5,0
1,0,1,1,1,a3b1c47b-a135-11e9-9cda-0a87ae2ba916,6,0.0,0.0,1,4,06/20/2024 10:08 PM,3,1,0
2,0,1,0,1,a3ac7e9a-a135-11e9-9cda-0a87ae2ba916,9,0.0,0.0,1,6,06/20/2024 10:09 PM,4,2,0
0,0,1,1,1,a3acea44-a135-11e9-9cda-0a87ae2ba916,6,0.0,0.0,1,4,06/20/2024 10:09 PM,4,0,0
3,0,1,1,1,a3afb401-a135-11e9-9cda-0a87ae2ba916,10,0.0,1.0,1,4,06/20/2024 10:08 PM,1,3,0
0,0,1,2,1,1936552461714393094,9,0.0,1.0,1,3,06/20/2024 10:09 PM,3,0,0
4,0,1,1,1,a3ad13e4-a135-11e9-9cda-0a87ae2ba916,1,0.0,0.0,1,9,06/20/2024 10:09 PM,5,4,0
1,0,1,0,1,a3a96aca-a135-11e9-9cda-0a87ae2ba916,10,0.0,0.0,1,1,06/20/2024 10:09 PM,0,1,0
0,0,1,1,1,da9e6779-5056-4d45-bae3-9dc325ed2807,2,0.0,0.0,1,8,06/20/2024 10:09 PM,8,0,0
0,0,1,4,1,a3a8804b-a135-11e9-9cda-0a87ae2ba916,10,0.0,4.0,1,1,06/20/2024 10:09 PM,1,0,0
0,0,1,1,1,a3b1fa1c-a135-11e9-9cda-0a87ae2ba916,6,0.0,0.0,1,4,06/20/2024 10:08 PM,4,0,0
3,0,1,1,1,a3a75885-a135-11e9-9cda-0a87ae2ba916,13,0.0,1.0,1,8,06/20/2024 10:08 PM,5,3,1
2,0,1,0,1,a3a5f5e6-a135-11e9-9cda-0a87ae2ba916,4,0.0,0.0,1,7,06/20/2024 10:08 PM,5,2,0
3,0,1,2,1,a3af8123-a135-11e9-9cda-0a87ae2ba916,7,0.0,1.0,1,6,06/20/2024 10:08 PM,3,3,0
