num_bikes_disabled,is_installed,num_bikes_available,num_ebikes_available,num_docks_disabled,num_docks_available,is_returning,is_renting,station_id,num_scooters_unavailable,num_scooters_available,timestamp,n_classic,n_electric,n_scooters
0,0,0,0,0,0,0,0,1963672425916463636,,,01/01/1970 06:00 PM,0,0,0
0,1,0,0,0,0,0,0,1963671811736140038,,,01/01/1970 06:00 PM,0,0,0
2,1,6,1,0,3,1,1,a3b23cb8-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:08 PM,5,1,0
0,1,9,0,0,6,1,1,a60781db-2bec-4a15-a4a2-363297aefcec,0.0,0.0,06/30/2024 06:08 PM,9,0,0
1,1,10,0,0,10,1,1,a3ac9d43-a135-11e9-9cda-0a87ae2ba916,0.0,2.0,06/30/2024 06:08 PM,10,0,0
0,1,2,1,0,12,1,1,a3ac1607-a135-11e9-9cda-0a87ae2ba916,0.0,1.0,06/30/2024 06:08 PM,1,1,1
0,1,14,1,0,0,1,1,a3a3ace6-a135-11e9-9cda-0a87ae2ba916,0.0,1.0,06/30/2024 06:08 PM,13,1,1
1,1,14,8,0,0,1,1,a3b0fae6-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:08 PM,6,8,0
0,1,4,0,0,11,1,1,f0f9f5dc-3d3f-4a32-aa3e-b87566e44de9,0.0,0.0,06/30/2024 06:08 PM,4,0,0
1,1,4,1,0,6,1,1,a3b29fae-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:08 PM,3,1,0
1,1,14,0,0,0,1,1,a3a97a01-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:08 PM,14,0,0
0,1,6,1,0,9,1,1,1869054242749504212,0.0,0.0,06/30/2024 06:08 PM,5,1,0
1,1,8,1,0,2,1,1,da9e6779-5056-4d45-bae3-9dc325ed2807,0.0,0.0,06/30/2024 06:08 PM,7,1,0
3,1,2,1,0,10,1,1,1936552461714393094,0.0,0.0,06/30/2024 06:08 PM,1,1,0
1,1,8,4,0,2,1,1,a3b24701-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:08 PM,4,4,0
1,1,5,0,0,9,1,1,1871992980799203880,0.0,0.0,06/30/2024 06:08 PM,5,0,0
1,1,9,3,0,5,1,1,759171ce-f355-4740-948d-e14bb8f7dc0e,0.0,0.0,06/30/2024 06:08 PM,6,3,0
1,1,8,0,0,9,1,1,a3a6c38e-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:08 PM,8,0,0
0,1,6,1,0,5,1,1,a3b22d3d-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:08 PM,5,1,0
5,1,7,0,0,7,1,1,a3aaa68b-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:08 PM,7,0,0
7,1,3,2,0,21,1,1,a3a614ad-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:08 PM,1,2,0
0,1,9,8,0,2,1,1,a3addda0-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:08 PM,1,8,0
0,1,3,0,0,12,1,1,a3ac7444-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:08 PM,3,0,0
0,1,2,1,0,8,1,1,a3b47cbc-a135-11e9-9cda-0a87ae2ba916,0.0,5.0,06/30/2024 06:08 PM,1,1,5
0,1,5,3,0,2,1,1,a3b10a40-a135-11e9-9cda-0a87ae2ba916,0.0,4.0,06/30/2024 06:08 PM,2,3,0
0,1,12,6,0,3,1,1,a3afd7ab-a135-11e9-9cda-0a87ae2ba916,0.0,1.0,06/30/2024 06:08 PM,6,6,0
3,1,7,5,0,4,1,1,a3a3b202-a135-11e9-9cda-0a87ae2ba916,0.0,1.0,06/30/2024 06:08 PM,2,5,1
0,1,12,1,0,3,1,1,1934288718318207280,0.0,0.0,06/30/2024 06:08 PM,11,1,0
2,1,9,2,0,4,1,1,a3ad4d1b-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:08 PM,7,2,0
0,1,7,0,0,8,1,1,1929967657204564894,0.0,0.0,06/30/2024 06:08 PM,7,0,0
3,1,14,2,0,10,1,1,a3a4ac3f-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:08 PM,12,2,0
2,1,4,1,0,8,1,1,a3a7f0ba-a135-11e9-9cda-0a87ae2ba916,0.0,1.0,06/30/2024 06:08 PM,3,1,1
0,1,18,9,0,4,1,1,a3ae87fa-a135-11e9-9cda-0a87ae2ba916,0.0,1.0,06/30/2024 06:08 PM,9,9,0
3,1,3,1,0,7,1,1,1929883678185797908,0.0,2.0,06/30/2024 06:08 PM,2,1,0
0,1,7,2,0,6,1,1,1934289361049585738,0.0,2.0,06/30/2024 06:08 PM,5,2,0
2,1,4,2,0,9,1,1,a3afd294-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:08 PM,2,2,0
2,1,4,4,0,5,1,1,a3acb1de-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:08 PM,0,4,0
2,1,1,0,0,20,1,1,a3a52df5-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:08 PM,1,0,0
1,1,9,2,0,12,1,1,a3a82c6c-a135-11e9-9cda-0a87ae2ba916,0.0,1.0,06/30/2024 06:08 PM,7,2,0
0,1,6,0,0,13,1,1,a3a83ba1-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:08 PM,6,0,0
2,1,7,1,0,2,1,1,a3ad7636-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:08 PM,6,1,0
1,1,2,0,0,7,1,1,a3b1fa1c-a135-11e9-9cda-0a87ae2ba916,0.0,1.0,06/30/2024 06:08 PM,2,0,0
4,1,6,1,0,10,1,1,a3a75d8a-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,5,1,0
0,1,3,1,0,31,1,1,a3a3a282-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,2,1,0
2,1,6,2,0,1,1,1,430d5876-c44d-446e-ac53-065da9fb9c17,0.0,0.0,06/30/2024 06:09 PM,4,2,0
7,1,2,0,0,0,1,1,a3a59ec3-a135-11e9-9cda-0a87ae2ba916,0.0,10.0,06/30/2024 06:09 PM,2,0,10
2,1,3,2,0,6,1,1,a3b148bf-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,1,2,0
0,1,4,3,0,3,1,1,a3a9c5f7-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,1,3,0
0,1,6,2,0,5,1,1,a3b2be3a-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,4,2,0
0,1,4,2,0,11,1,1,792ceba0-564f-4a2c-bcb5-90da781ffeef,0.0,0.0,06/30/2024 06:09 PM,2,2,0
1,1,7,0,0,6,1,1,a3a41004-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,7,0,0
0,1,8,7,0,5,1,1,1929905600854819414,0.0,2.0,06/30/2024 06:09 PM,1,7,0
0,1,7,4,0,8,1,1,1867616662773391950,0.0,0.0,06/30/2024 06:09 PM,3,4,0
0,1,3,1,0,12,1,1,1936582560225114270,0.0,0.0,06/30/2024 06:09 PM,2,1,0
0,1,14,0,0,1,1,1,a3a76cb6-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,14,0,0
5,1,21,9,0,16,1,1,a3ab9119-a135-11e9-9cda-0a87ae2ba916,1.0,4.0,06/30/2024 06:09 PM,12,9,0
0,1,6,2,0,5,1,1,a3acea44-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,4,2,0
1,1,10,0,0,4,1,1,1871993715238611622,0.0,0.0,06/30/2024 06:09 PM,10,0,0
1,1,8,6,0,6,1,1,1942118582722085548,0.0,0.0,06/30/2024 06:09 PM,2,6,0
0,1,4,3,0,10,1,1,1943244520961310788,0.0,1.0,06/30/2024 06:09 PM,1,3,0
9,1,7,2,0,21,1,1,1862806445904101456,0.0,2.0,06/30/2024 06:09 PM,5,2,0
12,1,9,5,0,9,1,1,a3a8999a-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,4,5,0
2,1,15,0,0,8,1,1,a3a5700b-a135-11e9-9cda-0a87ae2ba916,2.0,0.0,06/30/2024 06:09 PM,15,0,0
1,1,9,4,0,3,1,1,1799277526470631980,0.0,2.0,06/30/2024 06:09 PM,5,4,0
0,1,3,0,0,9,1,1,a3a565b1-a135-11e9-9cda-0a87ae2ba916,0.0,7.0,06/30/2024 06:09 PM,3,0,7
0,1,11,1,0,3,1,1,a3ad95a7-a135-11e9-9cda-0a87ae2ba916,0.0,1.0,06/30/2024 06:09 PM,10,1,0
