num_bikes_disabled,is_renting,num_docks_disabled,num_ebikes_available,is_returning,station_id,num_bikes_available,num_docks_available,is_installed,num_scooters_available,num_scooters_unavailable,timestamp,n_classic,n_electric,n_scooters
0,0,0,0,0,1966307477149012058,0,0,0,,,01/01/1970 06:00 PM,0,0,0
0,1,0,0,1,1963672425916463636,0,15,1,,,07/05/2024 02:03 AM,0,0,0
4,1,0,0,1,1933998036428004326,4,7,1,0.0,0.0,07/05/2024 02:05 AM,4,0,0
6,1,0,1,1,1938034236347042306,8,1,1,0.0,0.0,07/05/2024 02:06 AM,7,1,0
0,1,0,0,1,1963359453732131538,1,10,1,0.0,0.0,07/05/2024 02:06 AM,1,0,0
0,1,0,0,1,1936553212713581016,5,10,1,0.0,0.0,07/05/2024 02:07 AM,5,0,0
3,1,0,5,1,1934289944388426278,7,3,1,2.0,0.0,07/05/2024 02:07 AM,2,5,0
3,1,0,4,1,a3a7f0ba-a135-11e9-9cda-0a87ae2ba916,11,1,1,0.0,0.0,07/05/2024 02:07 AM,7,4,0
3,1,0,1,1,1936552461714393094,2,9,1,1.0,0.0,07/05/2024 02:07 AM,1,1,0
3,1,0,0,1,90011328-f7bd-4b7b-8f95-8204a0b50f27,0,8,1,0.0,0.0,07/05/2024 02:07 AM,0,0,0
2,1,0,3,1,a3aaa68b-a135-11e9-9cda-0a87ae2ba916,8,9,1,0.0,0.0,07/05/2024 02:07 AM,5,3,0
0,1,0,6,1,a3afd294-a135-11e9-9cda-0a87ae2ba916,10,5,1,0.0,0.0,07/05/2024 02:07 AM,4,6,0
3,1,0,0,1,1890605196211329420,6,6,1,0.0,0.0,07/05/2024 02:07 AM,6,0,0
2,1,0,6,1,a3a52df5-a135-11e9-9cda-0a87ae2ba916,14,7,1,0.0,0.0,07/05/2024 02:07 AM,8,6,0
0,1,0,1,1,a3a82c6c-a135-11e9-9cda-0a87ae2ba916,3,17,1,3.0,0.0,07/05/2024 02:07 AM,2,1,0
1,1,0,1,1,a3a59ec3-a135-11e9-9cda-0a87ae2ba916,4,4,1,10.0,0.0,07/05/2024 02:07 AM,3,1,10
3,1,0,0,1,a3b148bf-a135-11e9-9cda-0a87ae2ba916,5,2,1,0.0,0.0,07/05/2024 02:07 AM,5,0,0
2,1,0,0,1,ff21c158-de98-46c6-9ef7-7082bdb7c634,5,8,1,0.0,0.0,07/05/2024 02:07 AM,5,0,0
5,1,0,1,1,a3a75d8a-a135-11e9-9cda-0a87ae2ba916,6,9,1,0.0,0.0,07/05/2024 02:07 AM,5,1,0
0,1,0,2,1,a3b2c87c-a135-11e9-9cda-0a87ae2ba916,5,10,1,0.0,0.0,07/05/2024 02:07 AM,3,2,0
