num_bikes_available,station_id,num_docks_available,num_bikes_disabled,num_scooters_unavailable,is_renting,is_installed,is_returning,num_ebikes_available,num_docks_disabled,num_scooters_available,timestamp,n_classic,n_electric,n_scooters
3,1934290380966283526,5,7,0.0,1,1,1,0,0,0.0,07/27/2024 01:07 AM,3,0,0
5,1936553212713581016,8,2,0.0,1,1,1,1,0,0.0,07/27/2024 01:08 AM,4,1,0
9,1961472602929588766,4,1,0.0,1,1,1,6,0,1.0,07/27/2024 01:08 AM,3,6,0
5,1963359453732131538,5,1,0.0,1,1,1,0,0,0.0,07/27/2024 01:08 AM,5,0,0
10,1931696364106218226,2,2,0.0,1,1,1,6,0,1.0,07/27/2024 01:08 AM,4,6,0
4,a3ad2d57-a135-11e9-9cda-0a87ae2ba916,6,1,0.0,1,1,1,0,0,0.0,07/27/2024 01:09 AM,4,0,0
0,a3a8999a-a135-11e9-9cda-0a87ae2ba916,21,10,0.0,1,1,1,0,0,0.0,07/27/2024 01:09 AM,0,0,0
7,a3ac3b03-a135-11e9-9cda-0a87ae2ba916,3,5,0.0,1,1,1,5,0,0.0,07/27/2024 01:09 AM,2,5,0
18,a3a52df5-a135-11e9-9cda-0a87ae2ba916,5,0,0.0,1,1,1,0,0,0.0,07/27/2024 01:08 AM,18,0,0
10,a3af460f-a135-11e9-9cda-0a87ae2ba916,6,2,0.0,1,1,1,6,0,1.0,07/27/2024 01:09 AM,4,6,0
6,a3b1fa1c-a135-11e9-9cda-0a87ae2ba916,2,3,0.0,1,1,1,1,0,0.0,07/27/2024 01:09 AM,5,1,0
5,a3ad7636-a135-11e9-9cda-0a87ae2ba916,5,0,0.0,1,1,1,0,0,1.0,07/27/2024 01:09 AM,5,0,0
17,a3a5700b-a135-11e9-9cda-0a87ae2ba916,4,3,1.0,1,1,1,0,0,2.0,07/27/2024 01:09 AM,17,0,2
1,a3b3634c-a135-11e9-9cda-0a87ae2ba916,12,1,0.0,1,1,1,0,0,1.0,07/27/2024 01:09 AM,1,0,1
4,a3b0fae6-a135-11e9-9cda-0a87ae2ba916,11,0,0.0,1,1,1,1,0,0.0,07/27/2024 01:09 AM,3,1,0
4,a3a8804b-a135-11e9-9cda-0a87ae2ba916,13,1,0.0,1,1,1,0,0,0.0,07/27/2024 01:09 AM,4,0,0
4,a3a3b731-a135-11e9-9cda-0a87ae2ba916,18,0,0.0,1,1,1,3,0,2.0,07/27/2024 01:09 AM,1,3,1
12,a3a83ba1-a135-11e9-9cda-0a87ae2ba916,6,0,0.0,1,1,1,1,0,2.0,07/27/2024 01:09 AM,11,1,0
2,a3acb1de-a135-11e9-9cda-0a87ae2ba916,9,0,0.0,1,1,1,1,0,0.0,07/27/2024 01:09 AM,1,1,0
9,a3af2737-a135-11e9-9cda-0a87ae2ba916,4,1,0.0,1,1,1,0,0,1.0,07/27/2024 01:09 AM,9,0,0
0,1871992980799203880,9,6,0.0,1,1,1,0,0,0.0,07/27/2024 01:09 AM,0,0,0
3,1929538112769137066,11,1,0.0,1,1,1,1,0,0.0,07/27/2024 01:09 AM,2,1,0
3,1869054242749504212,12,0,0.0,1,1,1,1,0,0.0,07/27/2024 01:09 AM,2,1,0
5,a3a3b202-a135-11e9-9cda-0a87ae2ba916,4,2,0.0,1,1,1,0,0,4.0,07/27/2024 01:09 AM,5,0,4
11,a3aaa68b-a135-11e9-9cda-0a87ae2ba916,7,1,0.0,1,1,1,5,0,0.0,07/27/2024 01:09 AM,6,5,0
10,a3aa4017-a135-11e9-9cda-0a87ae2ba916,0,5,0.0,1,1,1,4,0,0.0,07/27/2024 01:09 AM,6,4,0
3,a3aa0bb7-a135-11e9-9cda-0a87ae2ba916,5,5,0.0,1,1,1,2,0,2.0,07/27/2024 01:09 AM,1,2,0
