num_bikes_disabled,num_scooters_available,num_docks_available,num_docks_disabled,is_installed,is_renting,num_bikes_available,num_scooters_unavailable,num_ebikes_available,station_id,is_returning,timestamp,n_classic,n_electric,n_scooters,is_no_classic,is_no_docks,is_problem_station,name,lat,lon,capacity,is_public_rack
0,2.0,4,0,1,1,9,0.0,4,a3a62fc9-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:39 PM,5,4,2,False,False,False,Indiana Ave & 26th St,41.845687,-87.622481,15,False
0,2.0,3,0,1,1,10,0.0,4,a3a62fc9-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:47 PM,6,4,2,False,False,False,Indiana Ave & 26th St,41.845687,-87.622481,15,False
0,2.0,3,0,1,1,10,0.0,4,a3a62fc9-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:54 PM,6,4,2,False,False,False,Indiana Ave & 26th St,41.845687,-87.622481,15,False
0,2.0,3,0,1,1,10,0.0,4,a3a62fc9-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:55 PM,6,4,2,False,False,False,Indiana Ave & 26th St,41.845687,-87.622481,15,False
0,,11,0,1,1,0,,0,90011328-f7bd-4b7b-8f95-8204a0b50f27,1,11/16/2023 08:39 PM,0,0,0,True,False,True,Wells St & Institute Pl,41.89737986072316,-87.63442039489746,11,False
0,,10,0,1,1,0,,0,90011328-f7bd-4b7b-8f95-8204a0b50f27,1,11/16/2023 08:47 PM,0,0,0,True,False,True,Wells St & Institute Pl,41.89737986072316,-87.63442039489746,11,False
0,1.0,9,0,1,1,1,0.0,0,90011328-f7bd-4b7b-8f95-8204a0b50f27,1,11/16/2023 08:53 PM,1,0,0,False,False,False,Wells St & Institute Pl,41.89737986072316,-87.63442039489746,11,False
0,1.0,9,0,1,1,1,0.0,0,90011328-f7bd-4b7b-8f95-8204a0b50f27,1,11/16/2023 08:55 PM,1,0,0,False,False,False,Wells St & Institute Pl,41.89737986072316,-87.63442039489746,11,False
0,2.0,2,0,1,1,7,0.0,2,a3a5f5e6-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:39 PM,5,2,2,False,False,False,Halsted St & 21st St,41.85377981072743,-87.6466029882431,11,False
0,2.0,2,0,1,1,7,0.0,2,a3a5f5e6-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:47 PM,5,2,2,False,False,False,Halsted St & 21st St,41.85377981072743,-87.6466029882431,11,False
0,2.0,2,0,1,1,7,0.0,2,a3a5f5e6-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:53 PM,5,2,2,False,False,False,Halsted St & 21st St,41.85377981072743,-87.6466029882431,11,False
0,2.0,2,0,1,1,7,0.0,2,a3a5f5e6-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:55 PM,5,2,2,False,False,False,Halsted St & 21st St,41.85377981072743,-87.6466029882431,11,False
0,0.0,5,0,1,1,10,0.0,0,a3a854bf-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:39 PM,10,0,0,False,False,False,Sedgwick St & Schiller St,41.907626,-87.638566,15,False
0,0.0,5,0,1,1,10,0.0,0,a3a854bf-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:48 PM,10,0,0,False,False,False,Sedgwick St & Schiller St,41.907626,-87.638566,15,False
0,0.0,4,0,1,1,10,1.0,0,a3a854bf-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:53 PM,10,0,0,False,False,False,Sedgwick St & Schiller St,41.907626,-87.638566,15,False
0,0.0,4,0,1,1,10,1.0,0,a3a854bf-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:53 PM,10,0,0,False,False,False,Sedgwick St & Schiller St,41.907626,-87.638566,15,False
1,2.0,12,0,1,1,0,0.0,0,a3b3634c-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:39 PM,0,0,2,True,False,True,Aberdeen St & Randolph St,41.884114,-87.654264,15,False
1,2.0,12,0,1,1,0,0.0,0,a3b3634c-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:47 PM,0,0,2,True,False,True,Aberdeen St & Randolph St,41.884114,-87.654264,15,False
1,2.0,12,0,1,1,0,0.0,0,a3b3634c-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:53 PM,0,0,2,True,False,True,Aberdeen St & Randolph St,41.884114,-87.654264,15,False
1,2.0,12,0,1,1,0,0.0,0,a3b3634c-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:53 PM,0,0,2,True,False,True,Aberdeen St & Randolph St,41.884114,-87.654264,15,False
0,0.0,5,0,1,1,10,0.0,2,a3afd7ab-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:39 PM,8,2,0,False,False,False,Talman Ave & Addison St,41.9466358306,-87.694614758,15,False
0,0.0,5,0,1,1,10,0.0,2,a3afd7ab-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:47 PM,8,2,0,False,False,False,Talman Ave & Addison St,41.9466358306,-87.694614758,15,False
0,0.0,5,0,1,1,10,0.0,2,a3afd7ab-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:54 PM,8,2,0,False,False,False,Talman Ave & Addison St,41.9466358306,-87.694614758,15,False
0,0.0,5,0,1,1,10,0.0,2,a3afd7ab-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:54 PM,8,2,0,False,False,False,Talman Ave & Addison St,41.9466358306,-87.694614758,15,False
1,0.0,5,0,1,1,13,0.0,2,a3b48c07-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:39 PM,11,2,0,False,False,False,Leavitt St & Chicago Ave,41.895501,-87.682017,19,False
1,0.0,5,0,1,1,13,0.0,2,a3b48c07-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:47 PM,11,2,0,False,False,False,Leavitt St & Chicago Ave,41.895501,-87.682017,19,False
1,0.0,5,0,1,1,13,0.0,2,a3b48c07-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:53 PM,11,2,0,False,False,False,Leavitt St & Chicago Ave,41.895501,-87.682017,19,False
1,0.0,5,0,1,1,13,0.0,2,a3b48c07-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:53 PM,11,2,0,False,False,False,Leavitt St & Chicago Ave,41.895501,-87.682017,19,False
0,0.0,8,0,1,1,3,0.0,0,a3b13e66-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:39 PM,3,0,0,False,False,False,Cicero Ave & Flournoy St,41.872131,-87.746619,11,False
0,0.0,8,0,1,1,3,0.0,0,a3b13e66-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:47 PM,3,0,0,False,False,False,Cicero Ave & Flournoy St,41.872131,-87.746619,11,False
0,0.0,8,0,1,1,3,0.0,0,a3b13e66-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:53 PM,3,0,0,False,False,False,Cicero Ave & Flournoy St,41.872131,-87.746619,11,False
0,0.0,8,0,1,1,3,0.0,0,a3b13e66-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:53 PM,3,0,0,False,False,False,Cicero Ave & Flournoy St,41.872131,-87.746619,11,False
0,4.0,7,0,1,1,4,0.0,2,a3a97a01-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:39 PM,2,2,4,False,False,False,Cottage Grove Ave & Oakwood Blvd,41.822985,-87.6071,15,False
0,4.0,7,0,1,1,4,0.0,2,a3a97a01-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:47 PM,2,2,4,False,False,False,Cottage Grove Ave & Oakwood Blvd,41.822985,-87.6071,15,False
0,4.0,7,0,1,1,4,0.0,2,a3a97a01-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:53 PM,2,2,4,False,False,False,Cottage Grove Ave & Oakwood Blvd,41.822985,-87.6071,15,False
0,4.0,7,0,1,1,4,0.0,2,a3a97a01-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:55 PM,2,2,4,False,False,False,Cottage Grove Ave & Oakwood Blvd,41.822985,-87.6071,15,False
1,0.0,2,0,1,1,19,0.0,1,a3a82c6c-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:39 PM,18,1,0,False,False,False,Southport Ave & Waveland Ave,41.94815,-87.66394,23,False
2,0.0,0,0,1,1,20,0.0,2,a3a82c6c-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:47 PM,18,2,0,False,True,True,Southport Ave & Waveland Ave,41.94815,-87.66394,23,False
2,0.0,0,0,1,1,20,0.0,2,a3a82c6c-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:53 PM,18,2,0,False,True,True,Southport Ave & Waveland Ave,41.94815,-87.66394,23,False
2,0.0,0,0,1,1,20,0.0,2,a3a82c6c-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:54 PM,18,2,0,False,True,True,Southport Ave & Waveland Ave,41.94815,-87.66394,23,False
0,0.0,6,0,1,1,9,0.0,3,a3b477ac-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:39 PM,6,3,0,False,False,False,Hoyne Ave & Balmoral Ave,41.979851,-87.681932,15,False
0,0.0,6,0,1,1,9,0.0,3,a3b477ac-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:47 PM,6,3,0,False,False,False,Hoyne Ave & Balmoral Ave,41.979851,-87.681932,15,False
0,0.0,6,0,1,1,9,0.0,3,a3b477ac-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:53 PM,6,3,0,False,False,False,Hoyne Ave & Balmoral Ave,41.979851,-87.681932,15,False
0,0.0,6,0,1,1,9,0.0,3,a3b477ac-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:53 PM,6,3,0,False,False,False,Hoyne Ave & Balmoral Ave,41.979851,-87.681932,15,False
0,0.0,1,0,1,1,14,0.0,3,a3a3b202-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:39 PM,11,3,0,False,False,False,Paulina Ave & North Ave,41.90985465216731,-87.66993016004562,15,False
0,0.0,1,0,1,1,14,0.0,3,a3a3b202-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:47 PM,11,3,0,False,False,False,Paulina Ave & North Ave,41.90985465216731,-87.66993016004562,15,False
0,0.0,1,0,1,1,14,0.0,3,a3a3b202-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:53 PM,11,3,0,False,False,False,Paulina Ave & North Ave,41.90985465216731,-87.66993016004562,15,False
0,0.0,1,0,1,1,14,0.0,3,a3a3b202-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:53 PM,11,3,0,False,False,False,Paulina Ave & North Ave,41.90985465216731,-87.66993016004562,15,False
4,0.0,11,0,1,1,20,0.0,1,a3a3a282-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:39 PM,19,2,0,False,False,False,Wilton Ave & Diversey Pkwy,41.932418,-87.652705,35,False
4,0.0,10,0,1,1,21,0.0,2,a3a3a282-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:47 PM,19,2,0,False,False,False,Wilton Ave & Diversey Pkwy,41.932418,-87.652705,35,False
4,0.0,10,0,1,1,21,0.0,2,a3a3a282-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:53 PM,19,2,0,False,False,False,Wilton Ave & Diversey Pkwy,41.932418,-87.652705,35,False
4,0.0,11,0,1,1,20,0.0,1,a3a3a282-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:55 PM,19,1,0,False,False,False,Wilton Ave & Diversey Pkwy,41.932418,-87.652705,35,False
0,0.0,10,0,1,1,5,0.0,0,a3a547b8-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:39 PM,5,0,0,False,False,False,63rd St Beach,41.78091096424803,-87.57632374763489,15,False
0,0.0,10,0,1,1,5,0.0,0,a3a547b8-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:47 PM,5,0,0,False,False,False,63rd St Beach,41.78091096424803,-87.57632374763489,15,False
0,0.0,10,0,1,1,5,0.0,0,a3a547b8-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:54 PM,5,0,0,False,False,False,63rd St Beach,41.78091096424803,-87.57632374763489,15,False
0,0.0,10,0,1,1,5,0.0,0,a3a547b8-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:54 PM,5,0,0,False,False,False,63rd St Beach,41.78091096424803,-87.57632374763489,15,False
0,0.0,0,0,1,1,15,0.0,0,a3af9a83-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:39 PM,15,0,0,False,True,True,Drake Ave & Montrose Ave,41.96115407569,-87.7165690733,15,False
0,0.0,0,0,1,1,15,0.0,0,a3af9a83-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:48 PM,15,0,0,False,True,True,Drake Ave & Montrose Ave,41.96115407569,-87.7165690733,15,False
0,0.0,0,0,1,1,15,0.0,0,a3af9a83-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:54 PM,15,0,0,False,True,True,Drake Ave & Montrose Ave,41.96115407569,-87.7165690733,15,False
0,0.0,0,0,1,1,15,0.0,0,a3af9a83-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:54 PM,15,0,0,False,True,True,Drake Ave & Montrose Ave,41.96115407569,-87.7165690733,15,False
0,0.0,5,0,1,1,6,0.0,1,a3b11480-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:39 PM,5,1,0,False,False,False,Laramie Ave & Kinzie St,41.887832,-87.755527,11,False
0,0.0,5,0,1,1,6,0.0,1,a3b11480-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:47 PM,5,1,0,False,False,False,Laramie Ave & Kinzie St,41.887832,-87.755527,11,False
0,0.0,5,0,1,1,6,0.0,1,a3b11480-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:53 PM,5,1,0,False,False,False,Laramie Ave & Kinzie St,41.887832,-87.755527,11,False
0,0.0,5,0,1,1,6,0.0,1,a3b11480-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:54 PM,5,1,0,False,False,False,Laramie Ave & Kinzie St,41.887832,-87.755527,11,False
0,0.0,36,0,1,1,11,0.0,4,a3ab9119-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:39 PM,7,4,0,False,False,False,Ravenswood Ave & Lawrence Ave,41.968445,-87.674226,47,False
1,0.0,37,0,1,1,10,0.0,2,a3ab9119-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:48 PM,8,2,0,False,False,False,Ravenswood Ave & Lawrence Ave,41.968445,-87.674226,47,False
0,0.0,37,0,1,1,10,0.0,2,a3ab9119-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:53 PM,8,2,0,False,False,False,Ravenswood Ave & Lawrence Ave,41.968445,-87.674226,47,False
0,0.0,37,0,1,1,10,0.0,2,a3ab9119-a135-11e9-9cda-0a87ae2ba916,1,11/16/2023 08:53 PM,8,2,0,False,False,False,Ravenswood Ave & Lawrence Ave,41.968445,-87.674226,47,False
0,0.0,4,0,1,1,7,0.0,1,da9e6779-5056-4d45-bae3-9dc325ed2807,1,11/16/2023 08:39 PM,6,1,0,False,False,False,Hale Ave & 107th St,41.699206168127674,-87.66891896724701,11,False
0,0.0,4,0,1,1,7,0.0,1,da9e6779-5056-4d45-bae3-9dc325ed2807,1,11/16/2023 08:47 PM,6,1,0,False,False,False,Hale Ave & 107th St,41.699206168127674,-87.66891896724701,11,False
0,0.0,4,0,1,1,7,0.0,1,da9e6779-5056-4d45-bae3-9dc325ed2807,1,11/16/2023 08:54 PM,6,1,0,False,False,False,Hale Ave & 107th St,41.699206168127674,-87.66891896724701,11,False
