is_returning,station_id,num_bikes_available,num_docks_available,num_docks_disabled,num_bikes_disabled,last_reported,num_ebikes_available,vehicle_docks_available,is_installed,num_scooters_available,num_scooters_unavailable,vehicle_types_available,is_renting
1,430d5876-c44d-446e-ac53-065da9fb9c17,5,5,1,0,1700155430,1,"[{'count': 5, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 4, 'vehicle_type_id': '1'}, {'count': 1, 'vehicle_type_id': '2'}]",1
1,a3b20960-a135-11e9-9cda-0a87ae2ba916,4,3,0,0,1700155431,4,"[{'count': 3, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 0, 'vehicle_type_id': '1'}, {'count': 4, 'vehicle_type_id': '2'}]",1
1,a3b481e1-a135-11e9-9cda-0a87ae2ba916,2,13,0,0,1700155429,0,"[{'count': 13, 'vehicle_type_ids': ['1', '2', '3']}]",1,0.0,0.0,"[{'count': 2, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}, {'count': 0, 'vehicle_type_id': '3'}]",1
1,a3b00b3a-a135-11e9-9cda-0a87ae2ba916,10,4,0,1,1700155429,3,"[{'count': 4, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 7, 'vehicle_type_id': '1'}, {'count': 3, 'vehicle_type_id': '2'}]",1
1,a3afbe2e-a135-11e9-9cda-0a87ae2ba916,8,6,0,1,1700155436,4,"[{'count': 6, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 4, 'vehicle_type_id': '1'}, {'count': 4, 'vehicle_type_id': '2'}]",1
1,a3a859c4-a135-11e9-9cda-0a87ae2ba916,2,16,0,1,1700155436,2,"[{'count': 16, 'vehicle_type_ids': ['1', '2', '3']}]",1,0.0,0.0,"[{'count': 0, 'vehicle_type_id': '1'}, {'count': 2, 'vehicle_type_id': '2'}, {'count': 0, 'vehicle_type_id': '3'}]",1
1,a3aa0bb7-a135-11e9-9cda-0a87ae2ba916,4,11,0,0,1700155435,2,"[{'count': 11, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 2, 'vehicle_type_id': '1'}, {'count': 2, 'vehicle_type_id': '2'}]",1
1,a3b01a86-a135-11e9-9cda-0a87ae2ba916,8,7,0,0,1700155433,3,"[{'count': 7, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 5, 'vehicle_type_id': '1'}, {'count': 3, 'vehicle_type_id': '2'}]",1
1,a3b13836-a135-11e9-9cda-0a87ae2ba916,7,4,0,0,1700155439,0,"[{'count': 4, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 7, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}]",1
1,4843d153-c725-4230-a4c7-402da6a62143,8,2,0,1,1700155443,3,"[{'count': 2, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 5, 'vehicle_type_id': '1'}, {'count': 3, 'vehicle_type_id': '2'}]",1
1,a60781db-2bec-4a15-a4a2-363297aefcec,5,9,0,1,1700155437,0,"[{'count': 9, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 5, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}]",1
1,1862806445904101456,30,8,0,1,1700155451,0,"[{'count': 8, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 30, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}]",1
1,a3b3634c-a135-11e9-9cda-0a87ae2ba916,13,1,0,1,1700155450,2,"[{'count': 1, 'vehicle_type_ids': ['1', '2', '3']}]",1,0.0,0.0,"[{'count': 11, 'vehicle_type_id': '1'}, {'count': 2, 'vehicle_type_id': '2'}, {'count': 0, 'vehicle_type_id': '3'}]",1
1,a3a97a01-a135-11e9-9cda-0a87ae2ba916,5,6,0,0,1700155446,2,"[{'count': 6, 'vehicle_type_ids': ['1', '2', '3']}]",1,4.0,0.0,"[{'count': 3, 'vehicle_type_id': '1'}, {'count': 2, 'vehicle_type_id': '2'}, {'count': 4, 'vehicle_type_id': '3'}]",1
1,a3b0fae6-a135-11e9-9cda-0a87ae2ba916,3,11,0,1,1700155446,0,"[{'count': 11, 'vehicle_type_ids': ['1', '2']}]",1,0.0,0.0,"[{'count': 3, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}]",1
