station_id,name,capacity,lat,lon,no_classic_count,no_docks_count,problem_count,total_count,pct_no_classic,pct_no_docks,pct_problem,bin_no_classic,bin_no_docks,bin_problem
03a1610c-3ba0-4b85-b512-bc26791cb7ee,Eberhart Ave & 91st St,15,41.729285157254864,-87.6110315322876,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
080ab938-2c1b-4fcf-a83d-74c5ae6ff305,Cottage Grove Ave & 111th Pl,15,41.69170975847015,-87.61000156402588,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
0eeb6baf-c653-4a1a-af17-99f686116b89,Lawndale Ave & 111th St,15,41.69131919221066,-87.71288573741913,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
0f9b826b-8885-4c25-96fd-9e2c2074c34e,Western Ave & 104th St,15,41.70458710218908,-87.68120348453522,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
10327d47-3c3a-433e-9e38-80638da64232,Indiana Ave & 103rd St,15,41.70717027117756,-87.6184719800949,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
13820eba-039d-4231-9228-005ab0f4e451,Bissell St & Armitage Ave*,15,41.9182955629354,-87.65218332409859,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
1436495096608724634,N Clark St & W Elm St,4,41.902901,-87.631282,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1436495100903691938,W Oakdale Ave & N Broadway,6,41.935581,-87.644042,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1436495105198659242,W Armitage Ave & N Sheffield Ave,8,41.917805,-87.653449,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1436495105198659246,N Carpenter St & W Lake St,6,41.885586,-87.6531893,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1436495109493626544,W Washington Blvd & N Peoria St,9,41.883043,-87.649931,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1436495109493626546,N Green St & W Lake St,8,41.885579,-87.648484,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1436495115557663136,N Southport Ave & W Newport Ave,8,41.944019,-87.663975,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1436495118083561146,N Sheffield Ave & W Wellington Ave,6,41.9362263,-87.6537676,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1436495119852630436,N Damen Ave & W Chicago Ave,6,41.895809,-87.678519,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1436495122378528446,N Paulina St & Lincoln Ave,6,41.943838,-87.671469,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1448642162257565286,S Wentworth Ave & W 111th St,5,41.6926176,-87.6280518,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1448642162257565290,S Aberdeen St & W 106th St,3,41.701217,-87.649345,10,10,10,10,100.0,100.0,100.0,90% to 100%,90% to 100%,90% to 100%
1448642175142467180,S Michigan Ave & E 118th St,6,41.679804,-87.620843,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1448642175142467184,Avenue L & 114th St,4,41.6881169,-87.5365497,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1448642179437434482,W 103rd St & S Avers Ave,10,41.705846,-87.717074,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1448642179437434486,Martin Luther King Dr & 111th St,6,41.69263895647179,-87.61367386484747,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1448642183732401786,Woodlawn & 103rd,10,41.707338,-87.59399,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1448642183732401788,Maryland Ave & 104th St,10,41.705588,-87.602938,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1448642188027369086,Indiana Ave & 133rd St,6,41.653564,-87.617054,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1448642188027369090,Steelworkers Park,6,41.738246,-87.531067,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
14d6e4b0-d0cc-4ccb-b757-e596d8c24a99,Torrence Ave & 106th St,15,41.70280085022591,-87.55972623825073,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
1500206163166594382,Ping Tom Park (East),9,41.8579886,-87.6319447,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1521679584953491780,Kedzie Ave & 104th St,8,41.7037764,-87.7013952,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1521686986436309688,Damen Ave & Wabansia Ave,12,41.9122813,-87.6773211,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1521690221159885714,Hampden Ct & Diversey Ave,8,41.9325593,-87.6423847,10,9,10,10,100.0,90.0,100.0,90% to 100%,90% to 100%,90% to 100%
1561012870126088744,Central Park Ave & Douglas Blvd,9,41.862355,-87.7157109,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1561012870126088746,Keeler Ave & Roosevelt Rd,9,41.866402,-87.7300171,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1561012874421056044,Pulaski Rd & 21st St,9,41.853452,-87.724541,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1561012874421056046,Harding Ave & 26th St,9,41.8444715,-87.7232647,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1561012878716023344,Kildare & Cermak,9,41.851414,-87.73215,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1561012878716023346,Lawndale Ave & 30th St,12,41.8389124,-87.7168955,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1561012883010990646,Komensky Ave & 31st St,9,41.836708,-87.725641,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1561012887305957948,Lawndale Ave & 16th St,9,41.8591606,-87.7176965,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1561012887305957952,Tripp Ave & 15th St,9,41.860777,-87.7313639,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1561012891600925250,Homan Ave & Fillmore St,9,41.868114,-87.7109257,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1561012895895892548,Kildare Ave & 26th St,9,41.8442315,-87.7321534,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1561012895895892552,Spaulding Ave & 16th St,9,41.85892,-87.707963,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1561012900190859852,Tripp Ave & 31st St,9,41.836966,-87.730502,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1563698675436490728,Meade Ave & Diversey Ave,9,41.9309018,-87.7784686,10,10,10,10,100.0,100.0,100.0,90% to 100%,90% to 100%,90% to 100%
1563698675436490730,Narragansett & Wrightwood,9,41.927294,-87.7852027,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1563698679731458030,Parkside Ave & Armitage Ave,9,41.9169054,-87.7671806,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1563698679731458032,Fullerton & Monitor,9,41.9237918,-87.7723116,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1563698684026425330,Central Ave & Parker Ave,9,41.9301785,-87.7661217,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1563698688321392628,Long Ave & Belmont Ave,9,41.9383071,-87.761663,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1563698688321392630,Long Ave & Belden Ave,9,41.9227049,-87.760954,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1563698701206292480,Lamon Ave & Belmont Ave,9,41.9390108,-87.7492834,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1563698701206292482,Cicero Ave & Grace St,6,41.94973,-87.7469526,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1563698705501259788,Kilpatrick Ave & Parker Ave,9,41.930736,-87.744082,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1563698709796227088,Kilbourn & Belden,9,41.922352,-87.739024,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1563698718386161684,Mason Ave & Belmont Ave,9,41.9383682,-87.7725029,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1563698718386161690,Oak Park & Wellington,9,41.934586,-87.7959613,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1563698718386161692,Mulligan Ave & Wellington Ave,9,41.9347409,-87.7844017,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1563698722681128992,Sayre & Diversey,9,41.9310084,-87.8010646,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1571105042230683636,Oketo Ave & Addison St,9,41.9449659,-87.8118989,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1571105042230683640,Panama Ave & Grace St,9,41.9476665,-87.829258,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1571105046525650938,Shabbona Park,9,41.944847,-87.799326,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1571105050820616194,Central Ave & Roscoe St,9,41.942258,-87.7669331,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1571105050820616196,Narragansett Ave & School St,9,41.940128,-87.7864806,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1571105055115583496,Long & Irving Park,9,41.953038,-87.7621632,10,10,10,10,100.0,100.0,100.0,90% to 100%,90% to 100%,90% to 100%
1571105055115583500,Roscoe & Harlem,9,41.9416062,-87.8072964,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1571105055115583502,Orange & Addison,9,41.9448846,-87.82423,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1571105059410550802,Plainfield & Irving Park,9,41.952037,-87.833283,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1571105059410550806,Harlem & Irving Park,9,41.9532568,-87.8071434,10,10,10,10,100.0,100.0,100.0,90% to 100%,90% to 100%,90% to 100%
1571105063705518104,Harlem Ave & Grace St,9,41.9488531,-87.806938,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1571105063705518106,Meade Ave & Addison St,9,41.9459174,-87.7788824,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1571105068000485406,Narragansett & Irving Park,9,41.952614,-87.7853829,10,10,10,10,100.0,100.0,100.0,90% to 100%,90% to 100%,90% to 100%
1575949489503728316,Monticello Ave & Chicago Ave,6,41.8952089,-87.7174329,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
1575949493798695614,Lamon Ave & Chicago Ave,9,41.8952,-87.748223,10,0,10,10,100.0,0.0,100.0,90% to 100%,0% to 9%,90% to 100%
