,station_id,name,capacity,lat,lon,community,no_classic_count,no_docks_count,problem_count,total_count,pct_no_classic,pct_no_docks,pct_problem,bin_no_classic,bin_no_docks,bin_problem
0,03a1610c-3ba0-4b85-b512-bc26791cb7ee,Eberhart Ave & 91st St,15,41.729285157254864,-87.6110315322876,CHATHAM,0,0,0,24,0.0,0.0,0.0,0%,0%,0%
1,080ab938-2c1b-4fcf-a83d-74c5ae6ff305,Cottage Grove Ave & 111th Pl,15,41.69170975847015,-87.61000156402588,PULLMAN,0,0,0,24,0.0,0.0,0.0,0%,0%,0%
2,0eeb6baf-c653-4a1a-af17-99f686116b89,Lawndale Ave & 111th St,15,41.69131919221066,-87.71288573741913,MOUNT GREENWOOD,0,0,0,24,0.0,0.0,0.0,0%,0%,0%
3,0f9b826b-8885-4c25-96fd-9e2c2074c34e,Western Ave & 104th St,15,41.70458710218908,-87.68120348453522,BEVERLY,0,0,0,24,0.0,0.0,0.0,0%,0%,0%
4,10327d47-3c3a-433e-9e38-80638da64232,Indiana Ave & 103rd St,15,41.70717027117756,-87.6184719800949,ROSELAND,0,0,0,24,0.0,0.0,0.0,0%,0%,0%
5,13820eba-039d-4231-9228-005ab0f4e451,Bissell St & Armitage Ave*,15,41.9182955629354,-87.65218332409859,LINCOLN PARK,0,0,0,24,0.0,0.0,0.0,0%,0%,0%
6,1436495096608724634,N Clark St & W Elm St,4,41.902901,-87.631282,NEAR NORTH SIDE,24,0,24,24,100.0,0.0,100.0,100%,0%,100%
7,1436495100903691938,W Oakdale Ave & N Broadway,6,41.935581,-87.644042,LAKE VIEW,24,0,24,24,100.0,0.0,100.0,100%,0%,100%
8,1436495105198659242,W Armitage Ave & N Sheffield Ave,8,41.917805,-87.653449,LINCOLN PARK,24,0,24,24,100.0,0.0,100.0,100%,0%,100%
9,1436495105198659246,N Carpenter St & W Lake St,6,41.885586,-87.6531893,NEAR WEST SIDE,24,0,24,24,100.0,0.0,100.0,100%,0%,100%
10,1436495109493626544,W Washington Blvd & N Peoria St,9,41.883043,-87.649931,NEAR WEST SIDE,24,0,24,24,100.0,0.0,100.0,100%,0%,100%
11,1436495109493626546,N Green St & W Lake St,8,41.885579,-87.648484,NEAR WEST SIDE,24,0,24,24,100.0,0.0,100.0,100%,0%,100%
12,1436495115557663136,N Southport Ave & W Newport Ave,8,41.944019,-87.663975,LAKE VIEW,24,0,24,24,100.0,0.0,100.0,100%,0%,100%
13,1436495118083561146,N Sheffield Ave & W Wellington Ave,6,41.9362263,-87.6537676,LAKE VIEW,24,0,24,24,100.0,0.0,100.0,100%,0%,100%
14,1436495119852630436,N Damen Ave & W Chicago Ave,6,41.895809,-87.678519,WEST TOWN,24,0,24,24,100.0,0.0,100.0,100%,0%,100%
15,1436495122378528446,N Paulina St & Lincoln Ave,6,41.943838,-87.671469,LAKE VIEW,24,5,24,24,100.0,20.833333333333332,100.0,100%,15-29%,100%
16,1448642162257565286,S Wentworth Ave & W 111th St,5,41.6926176,-87.6280518,ROSELAND,24,0,24,24,100.0,0.0,100.0,100%,0%,100%
17,1448642162257565290,S Aberdeen St & W 106th St,3,41.701217,-87.649345,WASHINGTON HEIGHTS,24,24,24,24,100.0,100.0,100.0,100%,100%,100%
18,1448642175142467180,S Michigan Ave & E 118th St,6,41.679804,-87.620843,WEST PULLMAN,24,0,24,24,100.0,0.0,100.0,100%,0%,100%
19,1448642175142467184,Avenue L & 114th St,4,41.6881169,-87.5365497,EAST SIDE,24,0,24,24,100.0,0.0,100.0,100%,0%,100%
20,1448642179437434482,W 103rd St & S Avers Ave,10,41.705846,-87.717074,MOUNT GREENWOOD,24,0,24,24,100.0,0.0,100.0,100%,0%,100%
21,1448642179437434486,Martin Luther King Dr & 111th St,6,41.69263895647179,-87.61367386484747,ROSELAND,24,0,24,24,100.0,0.0,100.0,100%,0%,100%
22,1448642183732401786,Woodlawn & 103rd,10,41.707338,-87.59399,PULLMAN,24,0,24,24,100.0,0.0,100.0,100%,0%,100%
23,1448642183732401788,Maryland Ave & 104th St,10,41.705588,-87.602938,PULLMAN,24,0,24,24,100.0,0.0,100.0,100%,0%,100%
24,1448642188027369086,Indiana Ave & 133rd St,6,41.653564,-87.617054,RIVERDALE,24,0,24,24,100.0,0.0,100.0,100%,0%,100%
25,1448642188027369090,Steelworkers Park,6,41.738246,-87.531067,SOUTH CHICAGO,24,0,24,24,100.0,0.0,100.0,100%,0%,100%
26,14d6e4b0-d0cc-4ccb-b757-e596d8c24a99,Torrence Ave & 106th St,15,41.70280085022591,-87.55972623825073,SOUTH DEERING,0,0,0,24,0.0,0.0,0.0,0%,0%,0%
27,1500206163166594382,Ping Tom Park (East),9,41.8579886,-87.6319447,NEAR SOUTH SIDE,24,0,24,24,100.0,0.0,100.0,100%,0%,100%
28,1521679584953491780,Kedzie Ave & 104th St,8,41.7037764,-87.7013952,MOUNT GREENWOOD,24,0,24,24,100.0,0.0,100.0,100%,0%,100%
29,1521686986436309688,Damen Ave & Wabansia Ave,12,41.9122813,-87.6773211,WEST TOWN,24,0,24,24,100.0,0.0,100.0,100%,0%,100%
30,1521690221159885714,Hampden Ct & Diversey Ave,8,41.9325593,-87.6423847,LINCOLN PARK,24,10,24,24,100.0,41.666666666666664,100.0,100%,30-99%,100%
31,1561012870126088744,Central Park Ave & Douglas Blvd,9,41.862355,-87.7157109,NORTH LAWNDALE,24,0,24,24,100.0,0.0,100.0,100%,0%,100%
32,1561012870126088746,Keeler Ave & Roosevelt Rd,9,41.866402,-87.7300171,NORTH LAWNDALE,24,0,24,24,100.0,0.0,100.0,100%,0%,100%
33,1561012874421056044,Pulaski Rd & 21st St,9,41.853452,-87.724541,NORTH LAWNDALE,24,0,24,24,100.0,0.0,100.0,100%,0%,100%
34,1561012874421056046,Harding Ave & 26th St,9,41.8444715,-87.7232647,SOUTH LAWNDALE,24,0,24,24,100.0,0.0,100.0,100%,0%,100%
35,1561012878716023344,Kildare & Cermak,9,41.851414,-87.73215,NORTH LAWNDALE,24,0,24,24,100.0,0.0,100.0,100%,0%,100%
36,1561012878716023346,Lawndale Ave & 30th St,12,41.8389124,-87.7168955,SOUTH LAWNDALE,24,0,24,24,100.0,0.0,100.0,100%,0%,100%
37,1561012883010990646,Komensky Ave & 31st St,9,41.836708,-87.725641,SOUTH LAWNDALE,24,0,24,24,100.0,0.0,100.0,100%,0%,100%
38,1561012887305957948,Lawndale Ave & 16th St,9,41.8591606,-87.7176965,NORTH LAWNDALE,24,0,24,24,100.0,0.0,100.0,100%,0%,100%
39,1561012887305957952,Tripp Ave & 15th St,9,41.860777,-87.7313639,NORTH LAWNDALE,24,0,24,24,100.0,0.0,100.0,100%,0%,100%
40,1561012891600925250,Homan Ave & Fillmore St,9,41.868114,-87.7109257,NORTH LAWNDALE,24,0,24,24,100.0,0.0,100.0,100%,0%,100%
41,1561012895895892548,Kildare Ave & 26th St,9,41.8442315,-87.7321534,SOUTH LAWNDALE,24,0,24,24,100.0,0.0,100.0,100%,0%,100%
42,1561012895895892552,Spaulding Ave & 16th St,9,41.85892,-87.707963,NORTH LAWNDALE,24,0,24,24,100.0,0.0,100.0,100%,0%,100%
43,1561012900190859852,Tripp Ave & 31st St,9,41.836966,-87.730502,SOUTH LAWNDALE,24,0,24,24,100.0,0.0,100.0,100%,0%,100%
44,1563698675436490728,Meade Ave & Diversey Ave,9,41.9309018,-87.7784686,BELMONT CRAGIN,24,24,24,24,100.0,100.0,100.0,100%,100%,100%
45,1563698675436490730,Narragansett & Wrightwood,9,41.927294,-87.7852027,BELMONT CRAGIN,24,0,24,24,100.0,0.0,100.0,100%,0%,100%
46,1563698679731458030,Parkside Ave & Armitage Ave,9,41.9169054,-87.7671806,BELMONT CRAGIN,24,0,24,24,100.0,0.0,100.0,100%,0%,100%
47,1563698679731458032,Fullerton & Monitor,9,41.9237918,-87.7723116,BELMONT CRAGIN,24,0,24,24,100.0,0.0,100.0,100%,0%,100%
